pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Plasmid: Porcine Epidemic Diarrhea Virus Infectious Clone,,Characterization of a Pathogenic Full-Length cDNA Clone and Transmission Model for Porcine Epidemic Diarrhea Virus Strain PC22A,http://mbio.asm.org/content/7/1/e01451-15.abstract,Anne Beall,http://technologies.unc.edu/inventors/18585065_anne-beall,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0038
Mouse: Human CalDAG-GEFIExpression,,Mice lacking the signaling molecule CalDAG-GEFI represent a model for leukocyte adhesion deficiency type III,http://www.jci.org/articles/view/30575,Wolfgang Bergmeier,http://technologies.unc.edu/inventors/18585056_wolfgang-bergmeier,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0049
No-Execute-After-Read: Preventing Code Disclosure in Commodity Software,"A novel memory permission primitive, dubbed No-Execute-After-Read (NEAR), has been developed that thwarts just-in-time code reuse attacks by adversaries taking advantage of memory disclosures. Unlike Execute-no-Read, which fails to prevent such attacks, NEAR provides strong security guarantees against just-in-time attacks in commodity binaries. Specifically, NEAR allows the disclosure of all code, but prevents any disclosed code from subsequently being executed, thus fundamentally thwarting just-in-time code reuse. At the same time, commodity binaries with mixed code and data regions still operate correctly, as legitimate data is still readable. The prototype is practical and portable to various platforms and applications, and it has a negligble runtime overhead, making it suitable for practical deployment.Advantages:• A better method than Execute-no-Read in preventing just-in-time code reuse attacks• Provides strong security protection against such attacks•",No-Execute-After-Read: Preventing Code Disclosure in Commodity Software,https://www3.cs.stonybrook.edu/~mikepo/papers/near.asiaccs16.pdf,Jan Werner,http://technologies.unc.edu/inventors/18585053_jan-werner,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2017/0213039,#16-0058
Tumor Antigen Capturing Nanoparticle for Cancer Immunotherapy,A biodegradable and biocompatible antigen capturing nanoparticle (AC-NP) has been developed that can improve cancer immunotherapy and induce the abscopal effect - a phenomenon where local tumor treatment causes systemic regression of metastatic lesions. The AC-NPs can deliver captured proteins to antigen-presenting cells and significantly improve the efficacy of treatment in a mouse melanoma model. This nanotechnology represents a novel strategy for improving cancer immunotherapy.Advantages:• Nanoparticle formulation elicits an improved immune response•,Protein-capturing nanoparticles boost immune response to cancer,http://medicalphysicsweb.org/cws/article/research/69608,Andrew Wang,http://technologies.unc.edu/inventors/18585052_andrew-wang,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,PCT Patent Application PCT/US2016/062563,#16-0064
Mouse: Mer Null (B6129SF2/J),,Tyro-3 family receptors are essential regulators of mammalian spermatogenesis,http://www.nature.com/nature/journal/v398/n6729/full/398723a0.html,Shelton Earp,http://technologies.unc.edu/inventors/18585051_shelton-earp,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0074
Mouse: Mer Null (C57BL/6),,"A Novel Receptor Tyrosine Kinase, Mer, Inhibits TNF-? Production and Lipopolysaccharide-Induced Endotoxic Shock",http://www.jimmunol.org/content/162/6/3498.full,Shelton Earp,http://technologies.unc.edu/inventors/18585049_shelton-earp,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0075
Pediatric and Adult Peripheral Cannulation Simulator,"A pediatric and adult Peripheral Cannulation Simulator has been developed for heart catheterization, medical device placement and mechanical circulatory support. This device incorporates visual feedback and a working pump with fluid-filled, pulsatile venous and arterial vasculature (aka PCS), and uses a human neck, torso, and upper thigh form, combined with pressurized tubing and a pump with variable, controlled pressure and flow direction to allow for the insertion of medical devices, catheters, sheaths, and cannulae of all kinds designed for mechanical circulatory support using Seldinger technique. During and after insertion, the devices may be viewed via a translucent “atrium” within the chest of the simulator in order to facilitate teaching and learning of proper device insertion and positioning, as well as to visualize flow dynamics (if colored fluid or otherwise labeled fluid was used) and the entrainment of air during the use of mechanical circulatory support devices. Because the tubing used to simulate the vasculature is distensible and embedded in silicone molds, it can be visualized with ultrasound during insertion of medical devices. The nature of the connections of the tubing in this device allow for the simulator to be connected to a cardiopulmonary bypass circuit or other mechanical circulatory support pump system and to indefinitely circulate fluid within the vasculature, to the mechanical support system pump, and return to the vasculature via cannula, thus simulating the proper use of the medical device as it might be used in a living person. PCS can be used for training of field/military ECMO, cathlab, ER docs, and nurses.Advantages:• The carotid artery is connected to the femoral artery and both are pulsatile• Can be connected to mechanical support and used to achieve continuous, indefinite circulation on the support device• Allows for a functional interaction with other devices in a much more high-fidelity, working capacity•",Nouvant,https://www.nouvant.com,Jennifer Nelson,http://technologies.unc.edu/inventors/18585045_jennifer-nelson,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,PCT Patent Application WO 2017/127724,#16-0080
Large-scale Structure from Motion Software,"A new Structure-from-Motion (SfM) technique has been
developed that improves existing incremental Structure-from-Motion strategies
for 3D reconstruction from unordered image collections. The novel SfM
algorithim improves therobustness, accuracy, completeness, and scalability
compared to the current state-of-the-art, and it makes a further step towards a
general-purpose SfM system.
Advantages:
•",Structure-from-Motion Revisited,https://people.inf.ethz.ch/jschoenb/papers/schoenberger2016sfm.pdf,Jan-michael Frahm,http://technologies.unc.edu/inventors/18585042_jan-michael-frahm,Copyright Materials  919.966.3929,http://technologies.unc.edu/managers/364_copyright-materials,Copyright Materials  919.966.3929,#16-0089
Cell Line: CH Mouse B Cell Lymphoma 27,CH27 is a carcinogen-induced B-cell lymphoma tumor that also expresses IgM/k on its surface.This cell line is available for distribution,"http://www.emdmillipore.com/US/en/product/CH27-Mouse-B-Cell-Lymphoma-Cell-Line,MM","http://www.emdmillipore.com/US/en/product/CH27-Mouse-B-Cell-Lymphoma-Cell-Line,MM_NF-SCC115",Geoffrey Haughton,http://technologies.unc.edu/inventors/18585038_geoffrey-haughton,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0100
Exosomal Drug Delivery for Chemotherapy and CNS Disorders,"Novel exosome-based compositions have been developed for the delivery of low molecular weight active ingredients, drugs and macromolecular biotherapeutics to sites of disease associated with inflammation including tumors and the central nervous system. When derived from individual patient exosomes, these vesicles have immune-privileged status which allows them to deliver therapeutic agents to target cells and increase drug efficacy. Delivery of multiple agents has been demonstrated in mouse models.Advantages:• Application-specific, customizable platform technology for the efficient transfer of drugs and genes to target tissues• Intranasal or intraveneous delivery of therapeutics•",Development of exosome-encapsulated paclitaxel to overcome MDR in cancer cells,https://www.ncbi.nlm.nih.gov/pubmed/26586551,Elena Batrakova,http://technologies.unc.edu/inventors/18585037_elena-batrakova,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,PCT Patent Application WO 2017/173034,#16-0102
Mouse: Fluorescent Reporter of Splice Switching Oligonucleotides (EGFP-654),"Model designed as a positive readout test for activity, delivery, and distribution of antisense oligomers. The expressed gene (EGFP-654) encoding enhanced green fluorescence protein is interrupted by an aberrantly spliced mutated intron of the human beta-globin gene. Aberrant splicing of this intron prevented expression of EGFP-654 in all tissues, whereas in tissues and organs that took up a splice site-targeted antisense oligomer, correct splicing was restored and EGFP-654 expression upregulated.This research tool is only",https://www.jax.org/strain/027617,https://www.jax.org/strain/027617,Ryszard Kole,http://technologies.unc.edu/inventors/18585035_ryszard-kole,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0111
